"Item Name
",Short Name,Knight,Warrior,Paladin,Assassin,Rogue,Trickster,Archer,Huntress,Mystic,Wizard,Necromancer,Ninja,Samurai,Priest,Sorcerer,Bard,Summoner,Kensei
25 Sprite Worlds,25 Sprite Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
50 Sprite Worlds,50 Sprite Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
25 Snake Pits,25 Snake Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
50 Snake Pits,50 Snake Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
25 Undead Lairs,25 UDL Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
50 Undead Lairs,50 UDL Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
25 Abyss of Demons,25 Abyss Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
50 Abyss of Demons,50 Abyss Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
25 Ancient Ruins,25 Ruins Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
50 Ancient Ruins,50 Ruins Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
25 Magic Woods,25 MWoods Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
50 Magic Woods,50 MWoods Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
25 Manor of the Immortals,25 Manor Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
50 Manor of the Immortals,50 Manor Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
25 Mad Labs,25 Lab Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
50 Mad Labs,50 Lab Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Machines,10 Machine Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Machines,25 Machine Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
25 Toxic Sewers,25 Sew Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
50 Toxic Sewers,50 Sew Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
25 Puppet Master's Theatre,25 Puppet Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
50 Puppet Master's Theatre,50 Puppet Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Haunted Cemetery,10 Cem Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Haunted Cemetery,25 Cem Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Cave of a Thousand Treasures,10 TCave Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Cave of a Thousand Treasures,25 TCave Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Parasite Chambers,10 Parasite Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Parasite Chambers,25 Parasite Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Lair of Draconis,10 LoD Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Lair of Draconis,25 LoD Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Mountain Temples,10 MT Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Mountain Temples,25 MT Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Davy Jones Lockers,10 Davy Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Davy Jones Lockers,25 Davy Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Shaitans,10 Shaitans Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Shaitans,25 Shaitans Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Puppet Master's Encore,10 Encore Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Puppet Master's Encore,25 Encore Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Cnidarian Reefs,10 Reef Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Cnidarian Reefs,25 Reef Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Secluded Thickets,10 Thickets Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Secluded Thickets,25 Thickets Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 High Tech Terrors,10 HTT Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 High Tech Terrors,25 HTT Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Ocean Trenches,10 OT Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Ocean Trenches,25 OT Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Belladonna Garden,10 Bella Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Belladonna Garden,25 Bella Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Mad God Mayhem,10 Mayhem Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Mad God Mayhem,25 Mayhem Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Ice Tombs,10 Ice Tomb Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Ice Tombs,25 Ice Tomb Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Crawling Depths,10 CDepths Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Crawling Depths,25 CDepths Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Deadwater Docks,10 DDocks Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Deadwater Docks,25 DDocks Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Woodland Labyrinth,10 WLab Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Woodland Labyrinth,25 WLab Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Ice Caves,10 Ice Cave Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Ice Caves,25 Ice Cave Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 The Third Dimension,10 3D Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 The Third Dimension,25 3D Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Tomb of the Ancient,10 Tomb Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Tomb of the Ancient,25 Tomb Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Interregnums,10 Interregnum Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Interregnums,20 Interregnum Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Battle for the Nexus,10 Battle Nexus Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Battle for the Nexus,25 Battle Nexus Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
5 Beachzones,5 Beachzone Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10 Forax,10 Forax Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Forax,25 Forax Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Katalund,10 Katalund Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Katalund,25 Katalund Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Untaris,10 Untaris Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Untaris,25 Untaris Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10 Malogia,10 Malogia Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Malogia,25 Malogia Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
5 Nests,5 Nest Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15 Nests,15 Nest Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
30 Nests,30 Nest Completes,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
50 Nests,50 Nest Completes,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
75 Nests,75 Nest Completes,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
5 Shatters,5 Shatts Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15 Shatters,15 Shatts Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
30 Shatters,30 Shatts Completes,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
50 Shatters,50 Shatts Completes,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
75 Shatters,75 Shatts Completes,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
5 Voids,5 Void Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15 Voids,15 Void Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
30 Voids,30 Void Completes,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
50 Voids,50 Void Completes,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
75 Voids,75 Void Completes,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
5 Cultist Hideout,5 Cult Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15 Cultist Hideout,15 Cult Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
30 Cultist Hideout,30 Cult Completes,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
50 Cultist Hideout,50 Cult Completes,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
75 Cultist Hideout,75 Cult Completes,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25 Cursed Library,25 Lib Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
50 Cursed Library,50 Lib Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
5 Fungal Caverns,5 Fungal Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15 Fungal Caverns,15 Fungal Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
30 Fungal Caverns,30 Fungal Completes,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
50 Fungal Caverns,50 Fungal Completes,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
75 Fungal Caverns,75 Fungal Completes,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
5 Crystal Caverns,5 CC Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15 Crystal Caverns,15 CC Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
30 Crystal Caverns,30 CC Completes,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
50 Crystal Caverns,50 CC Completes,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
75 Crystal Caverns,75 CC Completes,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
5 Oryx Sanctuary,5 O3 Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15 Oryx Sanctuary,15 O3 Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
30 Oryx Sanctuary,30 O3 Completes,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
50 Oryx Sanctuary,50 O3 Completes,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
75 Oryx Sanctuary,75 O3 Completes,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
5 Kogbold Steamworks,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15 Kogbold Steamworks,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
30 Kogbold Steamworks,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
50 Kogbold Steamworks,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
75 Kogbold Steamworks,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
5 Moonlight Village,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15 Moonlight Village,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
30 Moonlight Village,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
50 Moonlight Village,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
75 Moonlight Village,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Solo Kogbold Steamworks,Solo Steamworks Complete,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Solo Moonlight Village (no Umi),Solo MV Complete,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Solo Kitsune Umi,Solo Umi Complete,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Solo MBC,Solo MBC Complete,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Solo Nest,Solo Nest Complete,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Solo Shatters,Solo Shatts Complete,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Hard Mode Shatters,HM Shatts Complete,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Solo Hard Mode Forgotten King,Solo HM King Complete,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Solo Pirate Cave,Solo PCave Complete,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4 Man Void,4 Man Void,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Solo Cultist Hideout,Solo Cult Complete,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Solo Fungal + Crystal,Solo Fungal Complete,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Solo Void,Solo Void Complete,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Solo Oryx Sanctuary,Solo Oryx 3 Complete,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
2/8 Bonus,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4/8 Bonus,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6/8 Bonus,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
8/8 Bonus,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Sun's Judgement,Suns Judgement,10,10,10,10,10,10,15,15,10,10,10,10,10,10,10,15,10,10
Fire Blade,,15,15,15,15,15,15,15,15,15,15,15,20,20,15,15,15,15,20
Comet of Calamity,,20,20,20,20,20,20,20,20,25,25,25,20,20,20,20,20,20,20
Moonbeam Blade,,15,15,15,15,15,15,15,15,15,15,15,25,25,15,15,15,15,25
Dueling Daggers,,15,15,15,20,20,20,15,15,15,15,15,15,15,15,15,15,15,15
Snowblind Wand,,15,15,15,15,15,15,15,15,15,15,15,15,15,25,25,15,25,15
Foramite Staff,,10,10,10,10,10,10,10,10,15,15,15,10,10,10,10,10,10,10
Acidic Slasher,,20,20,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Corrosion Cutter,,20,20,20,25,25,25,20,20,20,20,20,20,20,20,20,20,20,20
Warlord Wand,,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,10,15,10
Gaseous Glaive,,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blazon Bow,,15,15,15,15,15,15,20,20,15,15,15,15,15,15,15,20,15,15
Heavy Protective Matrix,Heavy Matrix,20,20,20,15,15,15,15,15,15,15,15,15,20,15,15,15,15,20
Fitted Protective Matrix,Fitted Matrix,15,15,15,20,20,20,20,20,15,15,15,20,15,15,15,15,15,15
Magic Protective Matrix,Magic Matrix,15,15,15,15,15,15,15,15,20,20,20,15,15,20,20,20,20,15
Alien Core: Power,Power Core,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Alien Core: Corrosion,Corrosion Core,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Alien Core: Warp,Warp Core,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Alien Core: Dark Matter,Dark Matter Core,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Crystallised Fang's Venom,Crystallised Fang Venom,35,35,35,50,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Fungal Breastplate,,18,18,18,13,13,13,13,13,13,13,13,13,18,13,13,13,13,18
Tome of the Mushroom Tribes,Mushroom Tome,15,15,15,15,15,15,15,15,15,15,15,15,15,30,15,15,15,15
Sporous Spray Spell,Sporous Spell,20,20,20,20,20,20,20,20,20,25,20,20,20,20,20,20,20,20
Crystal Shield,CShield,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Cave Dweller Traps,Cave Trap,15,15,15,15,15,15,15,20,15,15,15,15,15,15,15,15,15,15
Ring of Decades,Deca,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Locked Reactor,Reactor,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Echoes Prism,Echos Prism,13,13,13,13,13,18,13,13,13,13,13,13,13,13,13,13,13,13
Fractured Gemstone Wakizashi,Gemstone Waki,15,15,15,15,15,15,15,15,15,15,15,15,20,15,15,15,15,20
Refraction Cloak,,15,15,15,15,20,15,15,15,15,15,15,15,15,15,15,15,15,15
Star of Enlightenment,Enlightenment Star,20,20,20,20,20,20,20,20,20,20,20,25,20,20,20,20,20,20
Crystallised Mist,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Amulet of Dispersion,Dispersion Amulet,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Werewolf Cub,Werewolf Cub Pet Skin,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Brilliance Bow,,7,7,7,7,7,7,12,12,7,7,7,7,7,7,7,12,7,7
Quintesential Quiver,,8,8,8,8,8,8,13,8,8,8,8,8,8,8,8,8,8,8
Luxurious Leather,,7,7,7,12,12,12,12,12,7,7,7,12,7,7,7,7,7,7
Regal Ring,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Mister Mango,,10,10,10,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10
Butter Bow,,7,7,7,7,7,7,12,12,7,7,7,7,7,7,7,12,7,7
Caduceus of Current Craziness,,7,7,7,7,7,7,7,7,7,7,7,7,7,12,12,7,12,7
MMce Murderer,Mace Murderer,13,13,13,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Blade of Ages,,7,7,7,7,7,7,7,7,7,7,7,12,12,7,7,7,7,12
K.I.D.D. Force,KIDD Force,10,10,10,10,10,10,10,10,15,15,15,10,10,10,10,10,10,10
Keychain Cutlass,,50,50,50,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Predator Bow,Oryx Bow,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,20,10,10
Bounty Hunter's Dagger,Oryx Dagger,10,10,10,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10
Tyrant's Wand,Oryx Wand,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,20,10
Henchman's Claymore,Oryx Sword,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Blade of the Assailant,Oryx Katana,10,10,10,10,10,10,10,10,10,10,10,20,20,10,10,10,10,20
Oppressor's Staff,Oryx Staff,10,10,10,10,10,10,10,10,20,20,20,10,10,10,10,10,10,10
Aegis Armor,Oryx Heavy Armor,20,20,20,10,10,10,10,10,10,10,10,10,20,10,10,10,10,20
Judge's Robe,Oryx Robe,10,10,10,10,10,10,10,10,20,20,20,10,10,20,20,20,20,10
Squadron Sheathing,Oryx Hide Armor,10,10,10,20,20,20,20,20,10,10,10,20,10,10,10,10,10,10
Snake Charmer Pungi,Snake Lute,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10
Wavecrest Concertina,Parrot,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10
Skyward Lute,T6 Lute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Toxin Tooth,Sew Dag,5,5,5,15,10,10,5,5,5,5,5,5,5,5,5,5,5,5
Acidic Armor,Snake ST Armor,5,5,5,15,10,10,10,5,5,5,5,10,5,5,5,5,5,5
Virulent Venom,Sew Venom,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Pernicious Peridot,Snake ST Ring,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Esben's Shaman Attire,Esben Robe,10,10,10,10,10,10,10,10,15,15,15,10,10,15,15,15,15,10
Esben's Wedding Ring,Esben Ring,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Swashbuckler's Sickle,Davy Sword,10,15,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Naval Uniform,Davy Armor,10,15,10,5,5,5,5,5,5,5,5,5,10,5,5,5,5,10
Tricorne of the High Seas,DDock Helm,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
First Mate's Hook,PCave Ring,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bergenia Bow,Woodland Bow,5,5,5,5,5,5,10,15,5,5,5,5,5,5,5,10,5,5
Hollyhock Hide,Woodland Hide,10,10,10,15,15,15,15,20,10,10,10,15,10,10,10,10,10,10
Lifebringing Lotus,MWoods Trap,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10
Chrysanthemum Corsage,Woodland Ring,8,8,8,8,8,8,8,13,8,8,8,8,8,8,8,8,8,8
Mighty Stein,Beer Poison,15,15,15,25,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Greaterhosen,Beer Armor,15,15,15,20,20,20,20,15,15,15,15,20,15,15,15,15,15,15
Quartz Cutter,Crystal Katana,15,15,15,15,15,15,15,15,15,15,15,25,20,15,15,15,15,20
Luminous Armor,Crystal Armor,15,15,15,20,20,20,20,20,15,15,15,25,20,15,15,15,15,20
Crystalline Kunai,Crystal Star,15,15,15,15,15,15,15,15,15,15,15,25,15,15,15,15,15,15
Radiant Heart,Crystal Ring,10,10,10,10,10,10,10,10,10,10,10,15,10,10,10,10,10,10
Ring of the Inferno,Red Demon Ring,10,10,10,10,10,10,10,10,15,10,10,10,10,10,10,10,10,10
Staff of Eruption,Shaitan Staff,10,10,10,10,10,10,10,10,20,15,15,10,10,10,10,10,10,10
Molten Mantle,Aby Robe,10,10,10,10,10,10,10,10,20,15,15,10,10,15,15,15,15,10
Scorchium Stone,Aby Orb,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10
Soul's Guidance,Cem Wand,10,10,10,10,10,10,10,10,15,15,15,10,10,10,10,10,10,10
Anointed Robe,Janus Robe,15,15,15,15,15,15,15,15,20,20,20,15,15,25,20,20,20,15
Theurgy Wand,Guardian Wand,10,10,10,10,10,10,10,10,10,10,10,10,10,20,15,10,15,10
Ring of Pagan Favor,Oryx Castle Ring,4,4,4,4,4,4,4,4,4,4,4,4,4,9,4,4,9,4
Ceremonial Merlot,Merlot,15,15,15,15,15,15,15,15,15,15,15,15,15,25,15,15,15,15
Pharaoh's Requiem,Tomb Lute,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10
Omni-Impotence Ring,Omni Impotence Ring,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Mirror Cloak,April Fools Cloak,5,5,5,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5
ToMe of Moral Support,April Fools Tome,5,5,5,5,5,5,5,5,5,5,5,5,5,10,5,5,5,5
Seal of Eternal Life,April Fools Seal,5,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
The Helium Trap,April Fools Trap,5,5,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Honey Scepter Supreme,April Fools Scepter,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,5,5,5
Archerang,April Fools Quiver,5,5,5,5,5,5,10,5,5,5,5,5,5,5,5,5,5,5
Challenger Helm,April Fools Helm,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Lightning in a Bottle,April Fools Poison,5,5,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Karma Orb,April Fools Orb,5,5,5,5,5,5,5,5,10,5,5,5,5,5,5,5,5,5
Unshuriken,April Fools Star,5,5,5,5,5,5,5,5,5,5,5,10,5,5,5,5,5,5
Spelling Spell,April Fools Spell,5,5,5,5,5,5,5,5,5,10,5,5,5,5,5,5,5,5
Shield of Pogmur,April Fools Shield,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Epiphany Skull,April Fools Skull,5,5,5,5,5,5,5,5,5,5,10,5,5,5,5,5,5,5
Fool's Prism,April Fools Prism,5,5,5,5,5,10,5,5,5,5,5,5,5,5,5,5,5,5
NSFWakizashi,April Fools Wakizashi,5,5,5,5,5,5,5,5,5,5,5,5,10,5,5,5,5,10
Cheater light Armor,,4,4,4,8,8,8,8,8,4,4,4,8,4,4,4,4,4,4
Cheater Robe,,4,4,4,4,4,4,4,4,8,8,8,4,4,8,8,8,8,4
Cheater heavy Armor,,8,8,8,4,4,4,4,4,4,4,4,4,8,4,4,4,4,8
Prismimic,,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10
Mimicry Trap,,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10
Perennial Cranium,Bella Skull,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10
Hanagasaku,Bella Star,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10
Heartstruck Bow,reskin leaf bow,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cupid's Garments,reskin coral silk,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Quiver of Dazing Love,reskin qot,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Ring of Unbound Love,reskin ub hp,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Spriteful Shield,reskin scutum,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Frost Lich's Finger,Foul reskin,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
Icicle Launcher,Covert reskin,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0
